Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
Hotel Zara Hi-Fi,Food Quality,54,37,8,9,24.07,0.7297297297297297,72.97,31.08
Hotel Zara Hi-Fi,Service,4,1,0,3,75.0,0.16666666666666666,16.67,54.17
Hotel Zara Hi-Fi,Ambience,0,0,0,0,50.0,0.0,0.0,50.0
Hotel Zara Hi-Fi,Value for Money,13,8,3,2,26.92,0.3939393939393939,39.39,40.91
Hotel Zara Hi-Fi,Hygiene,3,2,0,1,33.33,0.13043478260869565,13.04,47.83
Hotel Zara Hi-Fi,Overall Dining Experience,0,0,0,0,50.0,0.0,0.0,50.0
Pakwaan Grand,Food Quality,62,31,11,20,41.13,0.7560975609756098,75.61,43.29
Pakwaan Grand,Service,12,4,2,6,58.33,0.375,37.5,53.12
Pakwaan Grand,Ambience,3,2,1,0,16.67,0.13043478260869565,13.04,45.65
Pakwaan Grand,Value for Money,7,0,2,5,85.71,0.25925925925925924,25.93,59.26
Pakwaan Grand,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Pakwaan Grand,Overall Dining Experience,5,0,0,5,100.0,0.2,20.0,60.0
13 Dhaba,Food Quality,54,9,3,42,80.56,0.7297297297297297,72.97,72.3
13 Dhaba,Service,10,3,1,6,65.0,0.3333333333333333,33.33,55.0
13 Dhaba,Ambience,4,0,2,2,75.0,0.16666666666666666,16.67,54.17
13 Dhaba,Value for Money,8,0,0,8,100.0,0.2857142857142857,28.57,64.29
13 Dhaba,Hygiene,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
13 Dhaba,Overall Dining Experience,12,0,0,12,100.0,0.375,37.5,68.75
Jonathan's Kitchen - Holiday Inn Express & Suites,Food Quality,133,24,16,93,75.94,0.869281045751634,86.93,72.55
Jonathan's Kitchen - Holiday Inn Express & Suites,Service,48,13,2,33,70.83,0.7058823529411765,70.59,64.7
Jonathan's Kitchen - Holiday Inn Express & Suites,Ambience,30,1,3,26,91.67,0.6,60.0,75.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Value for Money,8,2,2,4,62.5,0.2857142857142857,28.57,53.57
Jonathan's Kitchen - Holiday Inn Express & Suites,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Overall Dining Experience,23,2,0,21,91.3,0.5348837209302325,53.49,72.09
B-Dubs,Food Quality,56,1,0,55,98.21,0.7368421052631579,73.68,85.52
B-Dubs,Service,64,0,0,64,100.0,0.7619047619047619,76.19,88.1
B-Dubs,Ambience,24,0,0,24,100.0,0.5454545454545454,54.55,77.27
B-Dubs,Value for Money,3,0,0,3,100.0,0.13043478260869565,13.04,56.52
