Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
Al Saba Restaurant,Hygiene,3,3,0,0,0.0,0.13043478260869565,13.04,43.48
Al Saba Restaurant,Overall Dining Experience,5,1,0,4,80.0,0.2,20.0,56.0
GD's,Food Quality,38,4,8,26,78.95,0.6551724137931034,65.52,68.97
GD's,Service,3,0,1,2,83.33,0.13043478260869565,13.04,54.35
GD's,Ambience,0,0,0,0,50.0,0.0,0.0,50.0
GD's,Value for Money,8,0,1,7,93.75,0.2857142857142857,28.57,62.5
GD's,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
GD's,Overall Dining Experience,10,0,0,10,100.0,0.3333333333333333,33.33,66.67
T Grill,Food Quality,91,26,17,48,62.09,0.8198198198198198,81.98,59.91
T Grill,Service,28,8,6,14,60.71,0.5833333333333334,58.33,56.25
T Grill,Ambience,41,5,6,30,80.49,0.6721311475409836,67.21,70.49
T Grill,Value for Money,17,6,1,10,61.76,0.4594594594594595,45.95,55.4
T Grill,Hygiene,4,1,2,1,50.0,0.16666666666666666,16.67,50.0
T Grill,Overall Dining Experience,8,1,0,7,87.5,0.2857142857142857,28.57,60.71
American Wild Wings,Food Quality,99,13,12,74,80.81,0.8319327731092437,83.19,75.63
American Wild Wings,Service,15,0,1,14,96.67,0.42857142857142855,42.86,70.0
American Wild Wings,Ambience,15,0,0,15,100.0,0.42857142857142855,42.86,71.43
American Wild Wings,Value for Money,19,0,2,17,94.74,0.48717948717948717,48.72,71.8
American Wild Wings,Hygiene,2,0,0,2,100.0,0.09090909090909091,9.09,54.55
American Wild Wings,Overall Dining Experience,9,0,0,9,100.0,0.3103448275862069,31.03,65.52
Arena Eleven,Food Quality,97,11,12,74,82.47,0.8290598290598291,82.91,76.92
Arena Eleven,Service,50,11,5,34,73.0,0.7142857142857143,71.43,66.43
Arena Eleven,Ambience,46,1,7,38,90.22,0.696969696969697,69.7,78.03
Arena Eleven,Value for Money,9,2,1,6,72.22,0.3103448275862069,31.03,56.9
Arena Eleven,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Arena Eleven,Overall Dining Experience,20,2,0,18,90.0,0.5,50.0,70.0
Cascade - Radisson Hyderabad Hitec City,Food Quality,122,16,14,92,81.15,0.8591549295774648,85.92,76.76
Cascade - Radisson Hyderabad Hitec City,Service,64,3,1,60,94.53,0.7619047619047619,76.19,83.93
Cascade - Radisson Hyderabad Hitec City,Ambience,30,1,2,27,93.33,0.6,60.0,76.0
Cascade - Radisson Hyderabad Hitec City,Value for Money,7,2,1,4,64.29,0.25925925925925924,25.93,53.7
Cascade - Radisson Hyderabad Hitec City,Hygiene,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Cascade - Radisson Hyderabad Hitec City,Overall Dining Experience,30,2,2,26,90.0,0.6,60.0,74.0
Collage - Hyatt Hyderabad Gachibowli,Food Quality,84,22,19,43,62.5,0.8076923076923077,80.77,60.1
Collage - Hyatt Hyderabad Gachibowli,Service,56,15,4,37,69.64,0.7368421052631579,73.68,64.47
Collage - Hyatt Hyderabad Gachibowli,Ambience,26,1,6,19,84.62,0.5652173913043478,56.52,69.57
Collage - Hyatt Hyderabad Gachibowli,Value for Money,6,2,1,3,58.33,0.23076923076923078,23.08,51.92
Collage - Hyatt Hyderabad Gachibowli,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Collage - Hyatt Hyderabad Gachibowli,Overall Dining Experience,15,2,1,12,83.33,0.42857142857142855,42.86,64.28
Zing's Northeast Kitchen,Food Quality,111,16,21,74,76.13,0.8473282442748091,84.73,72.14
Zing's Northeast Kitchen,Service,40,14,7,19,56.25,0.6666666666666666,66.67,54.17
Zing's Northeast Kitchen,Ambience,5,0,1,4,90.0,0.2,20.0,58.0
Zing's Northeast Kitchen,Value for Money,17,5,2,10,64.71,0.4594594594594595,45.95,56.76
Zing's Northeast Kitchen,Hygiene,4,2,0,2,50.0,0.16666666666666666,16.67,50.0
Zing's Northeast Kitchen,Overall Dining Experience,22,1,1,20,93.18,0.5238095238095238,52.38,72.62
Desi Bytes,Food Quality,38,10,5,23,67.11,0.6551724137931034,65.52,61.21
Desi Bytes,Service,8,3,1,4,56.25,0.2857142857142857,28.57,51.79
Desi Bytes,Ambience,5,0,0,5,100.0,0.2,20.0,60.0
Desi Bytes,Value for Money,10,3,3,4,55.0,0.3333333333333333,33.33,51.67
Desi Bytes,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Desi Bytes,Overall Dining Experience,6,1,0,5,83.33,0.23076923076923078,23.08,57.69
Hyderabadi Daawat,Food Quality,129,22,18,89,75.97,0.8657718120805369,86.58,72.48
Hyderabadi Daawat,Service,33,4,2,27,84.85,0.6226415094339622,62.26,71.7
Hyderabadi Daawat,Ambience,20,0,3,17,92.5,0.5,50.0,71.25
Hyderabadi Daawat,Value for Money,14,2,4,8,71.43,0.4117647058823529,41.18,58.82
Hyderabadi Daawat,Hygiene,3,0,0,3,100.0,0.13043478260869565,13.04,56.52
Hyderabadi Daawat,Overall Dining Experience,31,0,0,31,100.0,0.6078431372549019,60.78,80.39
Zega - Sheraton Hyderabad Hotel,Food Quality,90,4,6,80,92.22,0.8181818181818182,81.82,84.54
Zega - Sheraton Hyderabad Hotel,Service,55,5,0,50,90.91,0.7333333333333333,73.33,80.0
Zega - Sheraton Hyderabad Hotel,Ambience,38,0,0,38,100.0,0.6551724137931034,65.52,82.76
Zega - Sheraton Hyderabad Hotel,Value for Money,8,3,0,5,62.5,0.2857142857142857,28.57,53.57
Zega - Sheraton Hyderabad Hotel,Hygiene,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Zega - Sheraton Hyderabad Hotel,Overall Dining Experience,23,1,0,22,95.65,0.5348837209302325,53.49,74.42
Triptify,Food Quality,39,8,4,27,74.36,0.6610169491525424,66.1,66.1
Triptify,Service,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Triptify,Ambience,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Triptify,Value for Money,4,0,1,3,87.5,0.16666666666666666,16.67,56.25
Triptify,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Triptify,Overall Dining Experience,4,1,0,3,75.0,0.16666666666666666,16.67,54.17
Chinese Pavilion,Food Quality,112,17,16,79,77.68,0.8484848484848485,84.85,73.49
Chinese Pavilion,Service,42,1,1,40,96.43,0.6774193548387096,67.74,81.45
Chinese Pavilion,Ambience,29,1,5,23,87.93,0.5918367346938775,59.18,72.45
Chinese Pavilion,Value for Money,12,0,4,8,83.33,0.375,37.5,62.5
Chinese Pavilion,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Chinese Pavilion,Overall Dining Experience,18,0,0,18,100.0,0.47368421052631576,47.37,73.68
